	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4
ADCYAP1	0.00099273	0.00142806	0.00136125	0.00182318	0.09293474	0.09424118	0.09803816	0.09086092	0.01464149	0.01531793	0.01559584	0.0161432	0.06754903	0.06282485	0.06748772	0.06292341
CD80	0.00169939	0.00242525	0.00188399	0.00185665	0.00059353	0.00075924	0.00092098	0.00048939	0.00239038	0.00190545	0.00243277	0.0022491	0.00116582	0.00118497	0.00144823	0.00161272
ATM	0.09553283	0.09723845	0.10099398	0.09597978	0.06217335	0.0643465	0.06517501	0.06484869	0.0802694	0.083966	0.08247684	0.08493562	0.06118721	0.0621168	0.05926143	0.06349949
CDK4	3.76053811	3.93016945	3.97592614	4.00948904	0.4415732	0.43252348	0.46288505	0.44630684	2.85072034	2.85981702	2.86728618	2.88026418	1.46443269	1.50404822	1.45852641	1.39985557
CDK8	0.18342529	0.16894815	0.17785145	0.18106003	0.18407722	0.16765076	0.17646343	0.17125252	0.15469626	0.15615546	0.16518819	0.16212422	0.14399245	0.14905131	0.15962685	0.17054213
CDK9	0.54597563	0.51663776	0.53656992	0.54543108	0.64702597	0.65638999	0.6186357	0.65383264	0.50219107	0.49841921	0.51025592	0.5263013	0.61325026	0.61881749	0.66030439	0.61766686
BRS3	0.0007846	0.00051	0.00051	0.00094471	0.00169519	0.00112238	0.00164643	0.00117004	0.0006192	0.00048083	0.00087754	0.00036739	0.00083263	0.00125833	0.00043049	0.00098804
APC	0.33451142	0.31760765	0.36188815	0.35171785	2.07011494	2.07244963	2.08666681	2.02455428	0.61382629	0.62345908	0.67314381	0.64927567	1.51895014	1.50764673	1.54386626	1.54228305
APOB	9.41325101	9.65784477	9.61048518	9.42201733	0.00307614	0.0038138	0.0035409	0.0035004	5.66998813	5.74501446	5.82049792	5.82250968	2.34030031	2.36325078	2.39732844	2.3336709
ADCY8	0.04809337	0.04615113	0.05218452	0.04418815	0.18889737	0.19036416	0.19007787	0.19604204	0.06753498	0.07121565	0.07130588	0.07273106	0.14383228	0.15658937	0.14967412	0.15552936
ADM	0.6191162	0.58836981	0.59270511	0.59868031	0.09231513	0.08873868	0.08961696	0.09507832	0.39630034	0.44696954	0.40395484	0.42065112	0.21146884	0.21135641	0.21723845	0.20706468
BARD1	0.17302268	0.1668673	0.16838485	0.17787653	0.02545526	0.02564031	0.02290544	0.02461116	0.13351497	0.13308635	0.13902633	0.14536041	0.07218904	0.07324748	0.07585694	0.07382516
ATP6AP1	0.23903908	0.24649729	0.24213936	0.24178333	0.46252345	0.4657263	0.43112314	0.44845206	0.323656	0.34376959	0.33174946	0.3262079	0.39129933	0.41735894	0.40316702	0.39871818
ABCB11	0.0010841	0.00121532	0.00081325	0.00051	0.00048939	0.00048939	0.00049991	0.00048939	0.00050973	0.00067072	0.00146371	0.00041052	0.00079117	0.00107588	0.0005475	0.000743
BAG1	0.49414371	0.50378285	0.48499389	0.47347118	0.4654332	0.47551103	0.45581391	0.44867986	0.4336677	0.45748665	0.4240806	0.42642287	0.43681512	0.45652812	0.44263681	0.43661219
CDC45L	0.54124049	0.5681555	0.52172329	0.53488748	0.00085964	0.00108192	0.00082593	0.00111228	0.48792948	0.50457747	0.48026506	0.47645023	0.18445374	0.17966619	0.189347	0.18769563
ALDH4A1	0.26971838	0.2603728	0.24027599	0.25893523	0.32050808	0.3062011	0.30596378	0.29641355	0.2555446	0.26469065	0.24282293	0.25131976	0.29644026	0.28333612	0.29976456	0.29121833
BECN1	0.21376021	0.2254855	0.22338793	0.22436949	0.40902915	0.41378315	0.41116664	0.40981505	0.30463292	0.29801593	0.30994789	0.30640331	0.31090831	0.30570645	0.31797283	0.33215867
B2M	19.88132351	20.93340853	22.4648969	22.06009328	8.35302378	8.23230461	9.08321567	8.82928251	16.21532207	16.47393132	17.06478655	16.18120849	11.38927599	11.37451143	11.97092644	11.76909485
BCL2A1	0.21121339	0.21258871	0.20613534	0.20630523	0.0242744	0.02755019	0.02169724	0.02502674	0.15396202	0.16636411	0.16258886	0.16756862	0.07689243	0.07669481	0.07873855	0.07278743
ANXA13	0.0006986	0.00072542	0.00057812	0.00094366	0.0006401	0.0013247	0.00149611	0.00144557	0.00056059	0.0006462	0.00061727	0.00080259	0.00184995	0.00119803	0.00162566	0.001259
BPHL	0.30781395	0.3296871	0.33110025	0.32894371	0.18632451	0.19619269	0.19427752	0.19490751	0.32546073	0.32660777	0.32562663	0.33881889	0.25611904	0.26046014	0.28200299	0.27708466
CAD	1.14068854	1.14312762	1.13360294	1.20970424	0.18492729	0.17398795	0.18844101	0.18910959	0.95459031	0.96955445	0.99630308	1.01720526	0.49848469	0.50962778	0.50672132	0.54872753
CALR	20.12577391	19.70125769	19.86612496	19.19010348	7.42785996	7.47491879	7.54097818	7.41970242	15.42246678	15.43419971	16.47836986	16.80084563	11.53000667	11.32017239	11.77635656	11.37746595
BRPF1	0.31461878	0.33349732	0.32083194	0.3373428	0.30908991	0.30498605	0.28872838	0.30965093	0.38332464	0.35603046	0.37173653	0.36280422	0.28725033	0.30127994	0.30932498	0.30682946
CALB1	0.01679941	0.01604648	0.01799339	0.01783064	1.5538141	1.53515512	1.54788975	1.58042356	0.29506077	0.19852294	0.31849073	0.28982963	0.93600131	0.91143051	0.9381017	0.91776931
CCS	0.46919243	0.47063438	0.47893535	0.48665868	0.44845643	0.45312164	0.4372902	0.44051923	0.55932184	0.57462917	0.60199017	0.57231696	0.48790474	0.48249359	0.54123483	0.55125504
CDX4	0.00051	0.00051	0.00051	0.00051	0.00048939	0.00048939	0.00048939	0.00048939	0.00036739	0.00036739	0.00036739	0.00036739	0.00043049	0.00043049	0.00043049	0.00043049
CASP5	0.00051	0.00051	0.00051	0.00051	0.0015634	0.00120749	0.00082451	0.0014279	0.00036739	0.00050869	0.00036739	0.00038535	0.00110015	0.00062863	0.00085525	0.00078107
CEACAM5	0.06541776	0.06633662	0.06659881	0.06977381	0.00048939	0.00048939	0.00048939	0.00048939	0.04342085	0.04137852	0.04244606	0.04425914	0.01824463	0.02090739	0.02067756	0.02082497
CDK5R1	0.09608234	0.09362227	0.08885298	0.09825962	2.62503443	2.73355898	2.82119623	2.71878586	0.49455623	0.48686157	0.51571627	0.49000564	1.51851396	1.56715541	1.57850455	1.59794516
ATOH1	0.00515877	0.00757981	0.0066591	0.00705929	0.00048939	0.00048939	0.00048939	0.00048939	0.00708646	0.00545975	0.00576647	0.0052226	0.00307042	0.0026289	0.00232884	0.00310249
ADRB1	0.04251432	0.04402941	0.04871422	0.04818823	0.36014483	0.36138575	0.35421346	0.35636281	0.10488225	0.10967012	0.10549342	0.1154039	0.26196331	0.26919515	0.28428129	0.28112187
ATP1A2	0.08203183	0.08665284	0.09104163	0.08946296	6.12173229	6.14514744	6.00600375	6.16293983	1.17987125	1.1946682	1.23770217	1.22061474	3.85722596	4.00361296	4.02591704	4.07150271
ATP6V1B1	0.0277846	0.03181329	0.03432215	0.03007251	0.00379256	0.00352277	0.00400667	0.00322436	0.02217356	0.02251757	0.02311405	0.02471387	0.01330793	0.012157	0.01186432	0.01191456
CCR3	0.03258781	0.03337833	0.03396442	0.03209344	0.00048939	0.00076913	0.00177342	0.00048939	0.0362749	0.03246318	0.03377828	0.03134273	0.01315892	0.00997183	0.01049923	0.01038938
CCNB2	2.71397247	2.81650302	2.70437305	2.72164337	0.01600525	0.0154181	0.01728678	0.01556337	1.92550893	2.00356998	1.94243323	2.06260805	0.78612104	0.76078524	0.78327532	0.75413275
CDKN1A	0.40490177	0.41306319	0.40152001	0.39658653	0.39458839	0.41339755	0.41257912	0.40786225	0.3639388	0.38832945	0.3869969	0.36604014	0.37607334	0.3750337	0.38997691	0.39757557
BIRC2	0.45202802	0.44167738	0.44460903	0.44523511	0.24731807	0.24964199	0.25009684	0.24806539	0.35071617	0.34384861	0.35020766	0.34971466	0.35843232	0.34235361	0.35190134	0.35149292
C16orf3	0.09707127	0.10127128	0.09934786	0.10130382	0.05755742	0.05845365	0.06017852	0.05733381	0.07255873	0.07420158	0.07175897	0.07477295	0.07389719	0.06862378	0.06592177	0.07180515
ALPI	0.02580959	0.02524838	0.02548005	0.02543646	0.00048939	0.00048939	0.00048939	0.00048939	0.01722036	0.01751702	0.01935014	0.01839325	0.0084225	0.00582857	0.00864529	0.00526077
C11orf13	0.13838626	0.13736483	0.13008739	0.13785716	0.07692155	0.07719755	0.06899892	0.07443941	0.11057711	0.10214799	0.10271716	0.10354937	0.08546128	0.08629351	0.08618921	0.08961187
CDK5	0.59126776	0.56707773	0.58361857	0.59727709	0.95862292	0.95942932	0.95479517	0.96761905	0.59486449	0.5790942	0.57440866	0.58275645	0.77019721	0.80545197	0.78299127	0.8149315
C4BPB	0.1292755	0.13071437	0.12062229	0.12894009	0.00048939	0.00048939	0.00048939	0.00048939	0.10501402	0.09683052	0.09478328	0.10187127	0.04079194	0.04373893	0.04265654	0.03740546
BAG4	0.2451563	0.23867835	0.24237792	0.24970238	0.24191053	0.24518058	0.24891081	0.24551389	0.17969453	0.16873342	0.18261501	0.17685726	0.24506344	0.22666867	0.23891471	0.23105358
BAT1	2.42079949	2.23808175	2.39027504	2.36036599	1.70596794	1.7676796	1.77535169	1.80042809	2.89555324	3.06829472	2.40965142	3.10581719	1.88647262	1.85769797	1.8304655	2.01409337
ADORA2B	0.12288995	0.11501746	0.11053737	0.10883304	0.05665349	0.05730263	0.05659586	0.05648014	0.08244018	0.08750545	0.07994719	0.08404868	0.0647404	0.06242109	0.06607555	0.06020842
ACAT1	0.63272198	0.39273629	0.61480354	0.65013737	0.42458653	0.42372095	0.43150048	0.43687984	0.58691686	0.61656624	0.59315272	0.58542151	0.49351154	0.47916597	0.46838361	0.48490993
BYSL	0.44288073	0.45529017	0.4623176	0.46988421	0.1020507	0.10131897	0.09513048	0.09737735	0.39670854	0.38652586	0.41127075	0.3848465	0.214033	0.21931181	0.21397074	0.21858174
BRCA2	0.21119748	0.2203749	0.21565921	0.2068126	0.00366099	0.00273311	0.0031794	0.00336581	0.16415671	0.15716092	0.15657119	0.16435892	0.06330942	0.06962094	0.06018431	0.06901111
ALOX15	0.00322372	0.00589172	0.00463465	0.00485723	0.00048939	0.00048939	0.00048939	0.00048939	0.00658027	0.00549784	0.00537807	0.00569441	0.00069006	0.00118559	0.00096979	0.00100548
BMP3	0.00051	0.00051	0.00051	0.00051	0.00681434	0.00738854	0.00659927	0.00745643	0.0016742	0.00163088	0.00210877	0.00110522	0.00567199	0.00538749	0.00525172	0.0053435
AP1S1	0.77213542	0.84052818	0.84265658	0.8347685	0.75459482	0.74622118	0.78604679	0.7769621	0.74604167	0.73743516	0.72982496	0.7591524	0.72922685	0.73683727	0.70025564	0.69657186
AMD1	1.27455227	1.35172887	1.32598754	1.28360191	1.47751405	1.47681036	1.39027344	1.51743896	1.34759378	1.4017753	1.30690053	1.35177501	1.46989989	1.52866744	1.50738164	1.5591391
ACADVL	1.18133325	1.13902946	1.21690776	1.1869676	0.56073912	0.53739566	0.54525304	0.54158979	1.09270232	1.01992585	1.10188327	1.02901473	0.72581574	0.75516501	0.76539008	0.73704479
UBC	8.49022611	8.55281471	8.25199185	8.33490772	11.80195311	11.76653485	11.70047331	11.7497474	8.1821522	8.1044922	8.19911914	8.3312741	9.17672753	9.42270171	9.71172152	9.59971053
18S	50284.50024	51101.82271	49016.78463	53796.71875	54207.54726	54621.52374	52955.30212	53569.70088	48101.29051	47801.82438	47051.24541	48459.5118	52874.89929	53615.32581	55845.44955	57834.45512
HPRT1	1.41527291	1.40324045	1.3360208	1.36582249	1.26103599	1.33513038	1.21207481	1.27042262	1.2024426	1.28454551	1.24328183	1.25756152	1.12855572	1.18702508	1.17984098	1.17419934
PLAU	0.50642836	0.51634599	0.52760685	0.55493765	0.0111807	0.0120809	0.01325672	0.01160289	0.47368404	0.49408327	0.5012597	0.47544182	0.1656845	0.16697439	0.17575387	0.17710784
PAX5	0.00373886	0.00361506	0.00232941	0.00318303	0.00049016	0.00049016	0.00049016	0.00049016	0.00276053	0.00198951	0.00332551	0.00276586	0.00094047	0.00066786	0.00085877	0.00113889
POLR2A	1.00370296	0.9996944	1.05484763	0.99661527	0.97421915	0.97509732	1.04838564	1.00409385	0.98686453	0.99841344	1.020944	0.99410011	1.03163811	0.95498766	1.00838935	1.0065761
RBM5	0.19970645	0.21145723	0.22633873	0.21043793	0.2164278	0.22070787	0.22791479	0.22425137	0.1985458	0.20604972	0.22088995	0.20412952	0.19305032	0.2154431	0.21561245	0.20227832
NRL	0.00388542	0.00377186	0.00494681	0.00458248	0.00402076	0.00424163	0.00461937	0.00591796	0.00446721	0.00342278	0.00539647	0.00487518	0.0039302	0.00418456	0.00412688	0.00462951
RRH	0.00049585	0.00049585	0.00049585	0.00049585	0.00049016	0.00054972	0.00049016	0.00049016	0.00038402	0.00038402	0.00038402	0.00038402	0.00059786	0.00058809	0.00039752	0.00039752
NTSR2	0.00083386	0.00089423	0.00061385	0.00089889	0.12955716	0.12342686	0.12405966	0.12387802	0.03176723	0.02824042	0.0277238	0.02896828	0.08787258	0.08640155	0.09191094	0.08745024
NTS	2.32644381	2.31263478	2.41471407	2.42579107	0.0231354	0.02478475	0.02405239	0.02277897	1.78556858	1.87422222	1.91307511	1.82034477	0.65623914	0.66711052	0.67837777	0.67161052
PTK2	0.67767609	0.65786482	0.65887892	0.67105316	1.05380383	1.043305	1.0093896	1.05459594	0.72711277	0.75811105	0.72990004	0.78129697	0.88181972	0.91621366	0.81306449	0.86545889
PKIA	0.0609044	0.06013109	0.05993664	0.06525026	0.54059416	0.55091	0.54458996	0.57050919	0.16476963	0.16599905	0.17140102	0.15537071	0.34703084	0.35136206	0.35042096	0.36729777
NRGN	0.27789598	0.28520254	0.27528401	0.26569169	16.11202938	16.43719733	16.69475763	16.360038	3.56987413	3.43080024	3.61719458	3.92440865	11.81020197	11.80497607	11.61137414	11.38187497
PDGFRA	0.40517288	0.42164073	0.39020945	0.40538747	0.22762176	0.22885491	0.22612497	0.21828706	0.34912266	0.34624952	0.36203732	0.35868539	0.26356235	0.24876827	0.25786531	0.26187206
OPTN	0.51703411	0.51984955	0.54810375	0.54452841	1.9030822	1.89885161	2.07995242	1.95205108	0.74636961	0.7981922	0.77697586	0.75292851	1.3894653	1.41317703	1.46434113	1.42977108
S100A12	0.00064312	0.00081882	0.00058905	0.00071905	0.03919966	0.03974172	0.03658876	0.04482071	0.00720838	0.00802344	0.00608769	0.00733763	0.02212839	0.02379315	0.02493168	0.02403798
PPIF	0.35386914	0.36954485	0.36676467	0.35606748	0.13892435	0.14997294	0.16112196	0.14823898	0.28229509	0.29326577	0.33063161	0.30835079	0.19162252	0.19814187	0.20692916	0.20332186
PLXNC1	0.1792973	0.17601239	0.18128396	0.17547319	0.20705258	0.21463879	0.21807823	0.21204289	0.17188228	0.17202624	0.17570374	0.17478868	0.16388642	0.17562928	0.17207309	0.17367194
S100P	0.43141759	0.43014337	0.43618361	0.44581712	0.00267952	0.00321068	0.00228063	0.00239719	0.37670395	0.38227561	0.37341122	0.37673183	0.14291175	0.14921489	0.14242947	0.14563587
NELL1	0.0013272	0.00081866	0.00129855	0.00121088	0.20885139	0.22207395	0.20151273	0.20751594	0.03630106	0.03693558	0.03455699	0.03511175	0.11792784	0.11098385	0.11299159	0.10971866
ORC2L	0.10414826	0.1051061	0.10502835	0.1052377	0.06433354	0.06482527	0.06263572	0.06554321	0.07854644	0.08500141	0.09128039	0.08707798	0.05683384	0.06095486	0.05701447	0.06378637
PPP2R5B	0.14560955	0.15195219	0.14812515	0.14287826	0.794104	0.81950554	0.79358972	0.8129911	0.23999025	0.24651691	0.25165656	0.26204515	0.51053132	0.51871727	0.51075645	0.51263691
RPP30	0.4666199	0.45851989	0.44369516	0.46931482	0.38745478	0.38872082	0.34806072	0.36434587	0.40113015	0.43751062	0.44053395	0.38293911	0.34219262	0.3614619	0.33010696	0.33766881
NPC2	2.47209987	2.47862689	2.55074932	2.34891969	0.85620527	0.88647977	0.85894413	0.85055784	1.93561711	1.94407745	2.11426391	1.93047329	1.12481497	1.21962521	1.24407572	1.17460817
PSMC4	0.90527169	0.9160919	0.88580136	0.9110471	0.65440732	0.64414067	0.65375226	0.63473565	0.75623347	0.72853128	0.74286876	0.74970375	0.60740357	0.60980849	0.62684934	0.6472731
RPIP8	0.01942956	0.02074698	0.01942343	0.01679359	3.12057725	3.0929836	3.19408787	3.32349942	0.65836746	0.67793657	0.64212774	0.62551843	2.13989668	1.98280089	2.01531106	1.97264592
PDIA5	0.10049088	0.10458157	0.10009353	0.10069273	0.00749923	0.00729814	0.00859379	0.00820549	0.07424884	0.07348122	0.07689261	0.08042823	0.03208762	0.03328301	0.03313282	0.03459957
RAB32	0.47781947	0.46636008	0.47660029	0.48751757	0.04524225	0.03951721	0.0432515	0.04548769	0.31399811	0.32677362	0.31575648	0.33256298	0.15155938	0.15303114	0.15652722	0.14985017
NPM3	0.61370268	0.62278766	0.64569093	0.60788088	0.09526661	0.08636018	0.08710533	0.09558849	0.44046374	0.42111497	0.42711166	0.41149563	0.22384878	0.2413768	0.24013091	0.23699829
PWP1	0.43399367	0.4592439	0.4569988	0.44794682	0.24501321	0.25964324	0.26981626	0.25263408	0.39032219	0.3905767	0.40612119	0.40342921	0.33009491	0.31642611	0.3302857	0.32186683
PICALM	0.71735107	0.70635203	0.70495639	0.72912153	1.00195176	0.97045551	0.98441865	0.95865843	0.64239643	0.66431001	0.62705772	0.63981583	0.74773226	0.74263087	0.76644226	0.75413042
POLI	0.03141441	0.03748652	0.03741341	0.03501666	0.04640215	0.04591224	0.04995285	0.04751863	0.04200858	0.04201114	0.04448205	0.04147887	0.04481696	0.042068	0.04260222	0.04147258
MMD	0.67686956	0.67046992	0.68698505	0.65566769	0.47595832	0.47175373	0.49285269	0.47092692	0.59373683	0.58203559	0.57581778	0.56807994	0.48275632	0.49110417	0.4747465	0.46359833
PADI4	0.00083433	0.00053598	0.00063812	0.00072596	0.00049016	0.00083016	0.00070235	0.00075147	0.00057071	0.00058669	0.0006794	0.00055818	0.00073542	0.00058855	0.00060649	0.00046429
PSD4	0.05913327	0.06032194	0.06184738	0.0621301	0.00800699	0.00868895	0.00973281	0.00898851	0.04613254	0.04534099	0.04496044	0.04541244	0.02125065	0.02083682	0.02254028	0.02150871
MRPL13	0.46182882	0.48376733	0.47520492	0.49875252	0.1365679	0.13682235	0.13841838	0.14121602	0.36237599	0.36537377	0.34820397	0.36953776	0.19800218	0.19955044	0.19349508	0.21713456
ORC6L	0.24328665	0.23590737	0.23805927	0.24416898	0.02385039	0.0231202	0.02371791	0.02322106	0.17439873	0.1809083	0.18313585	0.18582485	0.068748	0.07198187	0.07325724	0.07289591
RAB30	0.23343392	0.22793463	0.23013958	0.22610562	0.47168326	0.46973087	0.4838389	0.47382448	0.25024817	0.24252338	0.25260026	0.23879798	0.35024298	0.34809006	0.34878789	0.35604403
RB1CC1	0.20230398	0.20417404	0.20754601	0.20780315	0.38081979	0.39046634	0.36839789	0.38714425	0.19412206	0.21136776	0.19246726	0.19538944	0.31040656	0.34104594	0.3438842	0.33730722
RNF10	0.89953065	0.90198228	0.90576727	0.95017751	0.97218022	0.98158847	0.97390887	0.97985504	0.85262935	0.84021915	0.8408273	0.86133885	0.8104388	0.8336047	0.84412693	0.84843907
POLR1D	0.12327529	0.1158929	0.12952675	0.12036684	0.04183471	0.04085937	0.04108953	0.04081423	0.07931428	0.07481572	0.08254563	0.07679121	0.05731932	0.05816144	0.06325762	0.05909265
PADI3	0.00369261	0.00374932	0.00284817	0.00335667	0.00049016	0.00049016	0.00049016	0.00049016	0.00242277	0.00189827	0.00228116	0.00255712	0.00104793	0.00116486	0.00102664	0.00108485
PRRX2	0.24766611	0.24154972	0.22768969	0.2303024	0.0050951	0.0069992	0.00366431	0.00415486	0.17785567	0.18448168	0.18282552	0.19421398	0.06382296	0.06509808	0.05749453	0.06260906
DTL	0.62504366	0.63448791	0.62934918	0.63203773	0.00136387	0.0013746	0.00101436	0.00111417	0.43076003	0.40811653	0.4987019	0.43479862	0.15138945	0.15588659	0.15063946	0.15170817
MASK	0.36507071	0.36827238	0.37674639	0.36070981	0.03555429	0.02985353	0.03102249	0.03333323	0.25808944	0.27374915	0.27075296	0.27553687	0.10365932	0.10962087	0.10916693	0.10976272
NUDT11	0.04738524	0.04876405	0.04888499	0.04571043	0.13705574	0.13069491	0.12408569	0.12846143	0.05497748	0.05925103	0.05833062	0.0557196	0.08703393	0.092519	0.09578704	0.09474751
NEIL3	0.3929387	0.4062847	0.39897465	0.39643932	0.00049016	0.0007587	0.0004907	0.00049016	0.34355354	0.33776569	0.33035385	0.32979818	0.12502477	0.13540499	0.11241213	0.12513156
RSAD1	0.12219448	0.11715729	0.12574627	0.12084775	0.12008038	0.11408684	0.12053949	0.11101774	0.13038793	0.12691519	0.13176287	0.13851281	0.12556268	0.11270952	0.13385245	0.12099462
C1orf103	0.09165182	0.09373782	0.09671159	0.09455418	0.02181491	0.02288544	0.02253013	0.02067675	0.08109134	0.07996349	0.08545724	0.08203217	0.04529875	0.04599294	0.04458907	0.04347765
PBK	0.47272462	0.47396774	0.46323237	0.48080246	0.00051163	0.00068035	0.00049016	0.00049016	0.34654744	0.3522568	0.37364187	0.37256982	0.12141698	0.11175988	0.12324755	0.12099661
POLR1B	0.1507232	0.14880282	0.14357091	0.13876642	0.04367577	0.04305395	0.0424695	0.04107605	0.09656667	0.09689435	0.09908554	0.10178454	0.04985808	0.0512566	0.0502713	0.05753232
NS3TP1	0.24776966	0.2504016	0.24705364	0.24331776	0.31455662	0.31702703	0.31267999	0.31284448	0.27191961	0.26978531	0.27582563	0.28977024	0.27613366	0.27033387	0.2721548	0.27398694
PELI1	0.15958192	0.16466581	0.16399455	0.17057348	0.32250937	0.31496052	0.32190213	0.32278269	0.15872169	0.16528184	0.16963184	0.16898332	0.24671313	0.24170661	0.24499214	0.25163646
NDUFV3	0.33168838	0.34080575	0.3631898	0.35756897	0.29922327	0.33634838	0.32453231	0.32802891	0.28580983	0.30557619	0.33952894	0.29321231	0.25582371	0.27695879	0.29181964	0.29395396
NGB	0.00079446	0.00078954	0.00099155	0.00077161	0.08339395	0.0830789	0.08578607	0.08940877	0.01742762	0.01703776	0.0176411	0.01935	0.05496924	0.05677353	0.05580121	0.05416916
MRPL46	0.35261991	0.35789009	0.35212753	0.35253659	0.29755876	0.30572754	0.30920932	0.29804688	0.3178037	0.31921301	0.31793615	0.31494991	0.28941445	0.29122926	0.28056208	0.27093591
RAB38	0.33982812	0.33108718	0.33210843	0.32463587	0.00216362	0.00218441	0.00152295	0.00240178	0.22978022	0.24328104	0.24994041	0.25141194	0.07934701	0.08280126	0.08416023	0.08296546
OSBPL11	0.11757179	0.11476054	0.11470502	0.11437367	0.12225901	0.12822926	0.12231514	0.12095619	0.09830652	0.10793828	0.11170399	0.10628129	0.10937318	0.11121403	0.11748799	0.11118476
MOSPD3	0.21579192	0.20459485	0.21541851	0.21128675	0.11074306	0.11204572	0.11980333	0.11670646	0.18127184	0.17573545	0.17782658	0.18101297	0.09837723	0.09984598	0.10002067	0.09940852
MLPH	1.22292021	1.20538103	1.24767631	1.30100841	0.01068054	0.01140048	0.01100169	0.01260755	0.95811434	0.98402933	0.98946181	0.94611908	0.33075789	0.34652472	0.33000525	0.34465585
PSTPIP2	0.03437935	0.03674654	0.03504428	0.03682316	0.00428689	0.00496576	0.0049302	0.00528933	0.02708866	0.03036765	0.02746191	0.02890721	0.01225886	0.01176653	0.01197202	0.01233425
PRKRIP1	0.47609551	0.49498249	0.49059809	0.48877027	0.50510096	0.49551153	0.51140007	0.49819142	0.53304572	0.52596288	0.49449064	0.51421719	0.45910656	0.49295492	0.47489376	0.44034785
NIP30	0.16028515	0.16402769	0.16499329	0.16239444	0.20416069	0.20819644	0.20883567	0.21290332	0.17810699	0.1722841	0.17087206	0.18613398	0.16344627	0.16481773	0.18202218	0.17470785
RUFY1	0.16686523	0.15861312	0.16503761	0.15338344	0.11686895	0.11703093	0.11345463	0.11800074	0.16718346	0.17029421	0.16902576	0.17721382	0.12864351	0.1254367	0.12214584	0.13319519
PUS3	0.05160948	0.05287805	0.05565886	0.05426706	0.0265376	0.02482088	0.02570965	0.02722328	0.04049016	0.04084033	0.043208	0.04141299	0.02824273	0.03044556	0.03018234	0.03038109
POU6F2	0.01884722	0.01907107	0.01990863	0.01793035	0.03728987	0.0416119	0.04045064	0.04376423	0.01971656	0.01990996	0.01972058	0.02037655	0.02790476	0.03072019	0.02954329	0.03052304
PPARG	0.13692548	0.13538722	0.14204378	0.13180575	0.04209899	0.03783634	0.04274032	0.04033017	0.1242721	0.11836519	0.12665147	0.12254498	0.0710877	0.06285292	0.06053234	0.06507845
RRAGB	0.12195454	0.12987291	0.12278203	0.11975046	0.29286189	0.29363112	0.27890455	0.26667174	0.16815088	0.16193903	0.16739451	0.15844013	0.19453408	0.20687892	0.19854889	0.20951987
NCK1	0.22261131	0.22102492	0.22945667	0.22564802	0.12708343	0.13373819	0.12851542	0.12711729	0.17108004	0.1771279	0.18675888	0.17176536	0.15068965	0.15073153	0.1521919	0.15369964
REV1L	0.10277525	0.09502456	0.10316675	0.10011091	0.20028956	0.17810659	0.19659401	0.19343126	0.12377481	0.1161827	0.12199957	0.11721649	0.15516613	0.14298244	0.14781506	0.15015457
MS4A4A	0.00635483	0.00686246	0.00701611	0.00724041	0.00451891	0.00496862	0.00515957	0.00543758	0.00417627	0.00491328	0.0044973	0.00483275	0.0042057	0.00452084	0.00399917	0.0043213
OR5V1	0.00702242	0.0058418	0.00770815	0.00494862	0.00049016	0.00049016	0.00049016	0.00049016	0.00453915	0.00331692	0.00384269	0.00396812	0.00138064	0.00122842	0.00263013	0.00121187
RNASE6	0.43739923	0.45115236	0.44881159	0.42224979	0.07334809	0.07884768	0.07389761	0.07258779	0.35270794	0.35802823	0.37028022	0.37517254	0.16887385	0.16911229	0.18166718	0.168268
P2RY5	0.11253577	0.11417649	0.11275434	0.11049104	0.05140763	0.05139193	0.05108226	0.04918179	0.09625912	0.09769494	0.09642061	0.09674717	0.06273995	0.06572625	0.06702392	0.0669251
PAICS	1.802429	1.77848828	1.8744683	1.82891223	0.25750485	0.25122124	0.27634813	0.26234075	1.54504245	1.51566674	1.60055509	1.53769772	0.71795793	0.68198868	0.68773264	0.68857496
OR1F1	0.0039456	0.00390435	0.00368555	0.00375036	0.01245879	0.01249798	0.01184291	0.01092068	0.00537784	0.00562489	0.00544189	0.00589516	0.00913522	0.00836857	0.00743577	0.00725071
PURG	0.02442701	0.02510866	0.02641171	0.02600068	0.20767259	0.22013125	0.21855731	0.21863545	0.05628926	0.05824303	0.06376433	0.05663961	0.14024009	0.14511345	0.14349417	0.14484725
PNMA3	0.01314619	0.01298748	0.01407549	0.013671	0.32828627	0.32145182	0.33216317	0.33969747	0.07747225	0.07346816	0.07625162	0.07820598	0.20108909	0.20239797	0.19749861	0.21933305
RAPGEFL1	0.11006533	0.10549968	0.10853994	0.11078408	0.67825719	0.6685824	0.68907373	0.68810409	0.19944749	0.23562918	0.2325167	0.2382387	0.46503979	0.48127656	0.47486522	0.48356396
RLN3R1	0.00329048	0.00384731	0.0029668	0.00338139	0.00306618	0.00281439	0.00284116	0.00345053	0.00331005	0.00315017	0.00388451	0.0037671	0.00272589	0.0027922	0.00269948	0.00286814
SALL4	0.14874076	0.14563419	0.13139798	0.13967915	0.00175089	0.00163677	0.00188115	0.00184607	0.10390569	0.10629477	0.10399834	0.0982591	0.03808096	0.03418684	0.03416535	0.03483381
